"Id","FIPS","Geography","Year","Variable","Value"
"0400000US09","09","Connecticut","2013-2017","Per Capita Income","41365"
"0400000US09","09","Connecticut","2013-2017","MoE","236"
"0600000US0900104720","0900104720","Bethel town","2013-2017","Per Capita Income","45171"
"0600000US0900104720","0900104720","Bethel town","2013-2017","MoE","3583"
"0600000US0900108070","0900108070","Bridgeport town","2013-2017","Per Capita Income","22806"
"0600000US0900108070","0900108070","Bridgeport town","2013-2017","MoE","669"
"0600000US0900108980","0900108980","Brookfield town","2013-2017","Per Capita Income","48576"
"0600000US0900108980","0900108980","Brookfield town","2013-2017","MoE","3696"
"0600000US0900118500","0900118500","Danbury town","2013-2017","Per Capita Income","32764"
"0600000US0900118500","0900118500","Danbury town","2013-2017","MoE","1157"
"0600000US0900118850","0900118850","Darien town","2013-2017","Per Capita Income","105928"
"0600000US0900118850","0900118850","Darien town","2013-2017","MoE","5722"
"0600000US0900123890","0900123890","Easton town","2013-2017","Per Capita Income","66658"
"0600000US0900123890","0900123890","Easton town","2013-2017","MoE","6042"
"0600000US0900126620","0900126620","Fairfield town","2013-2017","Per Capita Income","62541"
"0600000US0900126620","0900126620","Fairfield town","2013-2017","MoE","2725"
"0600000US0900133620","0900133620","Greenwich town","2013-2017","Per Capita Income","96533"
"0600000US0900133620","0900133620","Greenwich town","2013-2017","MoE","4157"
"0600000US0900148620","0900148620","Monroe town","2013-2017","Per Capita Income","47991"
"0600000US0900148620","0900148620","Monroe town","2013-2017","MoE","3031"
"0600000US0900150580","0900150580","New Canaan town","2013-2017","Per Capita Income","111515"
"0600000US0900150580","0900150580","New Canaan town","2013-2017","MoE","7015"
"0600000US0900150860","0900150860","New Fairfield town","2013-2017","Per Capita Income","47982"
"0600000US0900150860","0900150860","New Fairfield town","2013-2017","MoE","3842"
"0600000US0900152980","0900152980","Newtown town","2013-2017","Per Capita Income","52754"
"0600000US0900152980","0900152980","Newtown town","2013-2017","MoE","3266"
"0600000US0900156060","0900156060","Norwalk town","2013-2017","Per Capita Income","44888"
"0600000US0900156060","0900156060","Norwalk town","2013-2017","MoE","1471"
"0600000US0900163480","0900163480","Redding town","2013-2017","Per Capita Income","66046"
"0600000US0900163480","0900163480","Redding town","2013-2017","MoE","6073"
"0600000US0900163970","0900163970","Ridgefield town","2013-2017","Per Capita Income","78363"
"0600000US0900163970","0900163970","Ridgefield town","2013-2017","MoE","5351"
"0600000US0900168170","0900168170","Shelton town","2013-2017","Per Capita Income","45642"
"0600000US0900168170","0900168170","Shelton town","2013-2017","MoE","2806"
"0600000US0900168310","0900168310","Sherman town","2013-2017","Per Capita Income","71997"
"0600000US0900168310","0900168310","Sherman town","2013-2017","MoE","12553"
"0600000US0900173070","0900173070","Stamford town","2013-2017","Per Capita Income","52245"
"0600000US0900173070","0900173070","Stamford town","2013-2017","MoE","1744"
"0600000US0900174190","0900174190","Stratford town","2013-2017","Per Capita Income","36043"
"0600000US0900174190","0900174190","Stratford town","2013-2017","MoE","1330"
"0600000US0900177200","0900177200","Trumbull town","2013-2017","Per Capita Income","49030"
"0600000US0900177200","0900177200","Trumbull town","2013-2017","MoE","2264"
"0600000US0900183430","0900183430","Weston town","2013-2017","Per Capita Income","95534"
"0600000US0900183430","0900183430","Weston town","2013-2017","MoE","7539"
"0600000US0900183500","0900183500","Westport town","2013-2017","Per Capita Income","108829"
"0600000US0900183500","0900183500","Westport town","2013-2017","MoE","7676"
"0600000US0900186370","0900186370","Wilton town","2013-2017","Per Capita Income","82428"
"0600000US0900186370","0900186370","Wilton town","2013-2017","MoE","6488"
"0600000US0900302060","0900302060","Avon town","2013-2017","Per Capita Income","66837"
"0600000US0900302060","0900302060","Avon town","2013-2017","MoE","4046"
"0600000US0900304300","0900304300","Berlin town","2013-2017","Per Capita Income","45324"
"0600000US0900304300","0900304300","Berlin town","2013-2017","MoE","2976"
"0600000US0900305910","0900305910","Bloomfield town","2013-2017","Per Capita Income","41515"
"0600000US0900305910","0900305910","Bloomfield town","2013-2017","MoE","3048"
"0600000US0900308490","0900308490","Bristol town","2013-2017","Per Capita Income","32823"
"0600000US0900308490","0900308490","Bristol town","2013-2017","MoE","1147"
"0600000US0900310100","0900310100","Burlington town","2013-2017","Per Capita Income","51224"
"0600000US0900310100","0900310100","Burlington town","2013-2017","MoE","3638"
"0600000US0900312270","0900312270","Canton town","2013-2017","Per Capita Income","52569"
"0600000US0900312270","0900312270","Canton town","2013-2017","MoE","6025"
"0600000US0900322070","0900322070","East Granby town","2013-2017","Per Capita Income","41099"
"0600000US0900322070","0900322070","East Granby town","2013-2017","MoE","4036"
"0600000US0900322630","0900322630","East Hartford town","2013-2017","Per Capita Income","26374"
"0600000US0900322630","0900322630","East Hartford town","2013-2017","MoE","947"
"0600000US0900324800","0900324800","East Windsor town","2013-2017","Per Capita Income","36602"
"0600000US0900324800","0900324800","East Windsor town","2013-2017","MoE","3146"
"0600000US0900325990","0900325990","Enfield town","2013-2017","Per Capita Income","33246"
"0600000US0900325990","0900325990","Enfield town","2013-2017","MoE","1218"
"0600000US0900327600","0900327600","Farmington town","2013-2017","Per Capita Income","55817"
"0600000US0900327600","0900327600","Farmington town","2013-2017","MoE","3362"
"0600000US0900331240","0900331240","Glastonbury town","2013-2017","Per Capita Income","60119"
"0600000US0900331240","0900331240","Glastonbury town","2013-2017","MoE","2981"
"0600000US0900332640","0900332640","Granby town","2013-2017","Per Capita Income","52140"
"0600000US0900332640","0900332640","Granby town","2013-2017","MoE","4497"
"0600000US0900337070","0900337070","Hartford town","2013-2017","Per Capita Income","19220"
"0600000US0900337070","0900337070","Hartford town","2013-2017","MoE","730"
"0600000US0900337140","0900337140","Hartland town","2013-2017","Per Capita Income","41377"
"0600000US0900337140","0900337140","Hartland town","2013-2017","MoE","4307"
"0600000US0900344700","0900344700","Manchester town","2013-2017","Per Capita Income","34244"
"0600000US0900344700","0900344700","Manchester town","2013-2017","MoE","1128"
"0600000US0900345820","0900345820","Marlborough town","2013-2017","Per Capita Income","47978"
"0600000US0900345820","0900345820","Marlborough town","2013-2017","MoE","6467"
"0600000US0900350440","0900350440","New Britain town","2013-2017","Per Capita Income","23101"
"0600000US0900350440","0900350440","New Britain town","2013-2017","MoE","820"
"0600000US0900352140","0900352140","Newington town","2013-2017","Per Capita Income","38179"
"0600000US0900352140","0900352140","Newington town","2013-2017","MoE","1399"
"0600000US0900360120","0900360120","Plainville town","2013-2017","Per Capita Income","35646"
"0600000US0900360120","0900360120","Plainville town","2013-2017","MoE","2714"
"0600000US0900365370","0900365370","Rocky Hill town","2013-2017","Per Capita Income","44956"
"0600000US0900365370","0900365370","Rocky Hill town","2013-2017","MoE","3409"
"0600000US0900368940","0900368940","Simsbury town","2013-2017","Per Capita Income","56622"
"0600000US0900368940","0900368940","Simsbury town","2013-2017","MoE","2776"
"0600000US0900370550","0900370550","Southington town","2013-2017","Per Capita Income","41493"
"0600000US0900370550","0900370550","Southington town","2013-2017","MoE","1275"
"0600000US0900371390","0900371390","South Windsor town","2013-2017","Per Capita Income","46900"
"0600000US0900371390","0900371390","South Windsor town","2013-2017","MoE","2109"
"0600000US0900374540","0900374540","Suffield town","2013-2017","Per Capita Income","45478"
"0600000US0900374540","0900374540","Suffield town","2013-2017","MoE","4473"
"0600000US0900382590","0900382590","West Hartford town","2013-2017","Per Capita Income","52846"
"0600000US0900382590","0900382590","West Hartford town","2013-2017","MoE","1994"
"0600000US0900384900","0900384900","Wethersfield town","2013-2017","Per Capita Income","41404"
"0600000US0900384900","0900384900","Wethersfield town","2013-2017","MoE","2418"
"0600000US0900387000","0900387000","Windsor town","2013-2017","Per Capita Income","39542"
"0600000US0900387000","0900387000","Windsor town","2013-2017","MoE","1831"
"0600000US0900387070","0900387070","Windsor Locks town","2013-2017","Per Capita Income","36253"
"0600000US0900387070","0900387070","Windsor Locks town","2013-2017","MoE","4150"
"0600000US0900502760","0900502760","Barkhamsted town","2013-2017","Per Capita Income","42224"
"0600000US0900502760","0900502760","Barkhamsted town","2013-2017","MoE","3632"
"0600000US0900504930","0900504930","Bethlehem town","2013-2017","Per Capita Income","45476"
"0600000US0900504930","0900504930","Bethlehem town","2013-2017","MoE","8098"
"0600000US0900508210","0900508210","Bridgewater town","2013-2017","Per Capita Income","64829"
"0600000US0900508210","0900508210","Bridgewater town","2013-2017","MoE","7826"
"0600000US0900510940","0900510940","Canaan town","2013-2017","Per Capita Income","53537"
"0600000US0900510940","0900510940","Canaan town","2013-2017","MoE","10008"
"0600000US0900516050","0900516050","Colebrook town","2013-2017","Per Capita Income","37116"
"0600000US0900516050","0900516050","Colebrook town","2013-2017","MoE","3219"
"0600000US0900517240","0900517240","Cornwall town","2013-2017","Per Capita Income","49441"
"0600000US0900517240","0900517240","Cornwall town","2013-2017","MoE","7646"
"0600000US0900532290","0900532290","Goshen town","2013-2017","Per Capita Income","40164"
"0600000US0900532290","0900532290","Goshen town","2013-2017","MoE","4963"
"0600000US0900537280","0900537280","Harwinton town","2013-2017","Per Capita Income","44988"
"0600000US0900537280","0900537280","Harwinton town","2013-2017","MoE","5040"
"0600000US0900540290","0900540290","Kent town","2013-2017","Per Capita Income","39152"
"0600000US0900540290","0900540290","Kent town","2013-2017","MoE","8121"
"0600000US0900543370","0900543370","Litchfield town","2013-2017","Per Capita Income","44833"
"0600000US0900543370","0900543370","Litchfield town","2013-2017","MoE","3791"
"0600000US0900549460","0900549460","Morris town","2013-2017","Per Capita Income","46973"
"0600000US0900549460","0900549460","Morris town","2013-2017","MoE","7031"
"0600000US0900551350","0900551350","New Hartford town","2013-2017","Per Capita Income","42173"
"0600000US0900551350","0900551350","New Hartford town","2013-2017","MoE","4193"
"0600000US0900552630","0900552630","New Milford town","2013-2017","Per Capita Income","39515"
"0600000US0900552630","0900552630","New Milford town","2013-2017","MoE","2086"
"0600000US0900553470","0900553470","Norfolk town","2013-2017","Per Capita Income","45582"
"0600000US0900553470","0900553470","Norfolk town","2013-2017","MoE","6769"
"0600000US0900554030","0900554030","North Canaan town","2013-2017","Per Capita Income","33629"
"0600000US0900554030","0900554030","North Canaan town","2013-2017","MoE","3591"
"0600000US0900560750","0900560750","Plymouth town","2013-2017","Per Capita Income","34297"
"0600000US0900560750","0900560750","Plymouth town","2013-2017","MoE","1785"
"0600000US0900565930","0900565930","Roxbury town","2013-2017","Per Capita Income","84768"
"0600000US0900565930","0900565930","Roxbury town","2013-2017","MoE","15086"
"0600000US0900566420","0900566420","Salisbury town","2013-2017","Per Capita Income","61034"
"0600000US0900566420","0900566420","Salisbury town","2013-2017","MoE","10053"
"0600000US0900567960","0900567960","Sharon town","2013-2017","Per Capita Income","69993"
"0600000US0900567960","0900567960","Sharon town","2013-2017","MoE","18047"
"0600000US0900575730","0900575730","Thomaston town","2013-2017","Per Capita Income","33667"
"0600000US0900575730","0900575730","Thomaston town","2013-2017","MoE","2113"
"0600000US0900576570","0900576570","Torrington town","2013-2017","Per Capita Income","30982"
"0600000US0900576570","0900576570","Torrington town","2013-2017","MoE","940"
"0600000US0900579510","0900579510","Warren town","2013-2017","Per Capita Income","55475"
"0600000US0900579510","0900579510","Warren town","2013-2017","MoE","6800"
"0600000US0900579720","0900579720","Washington town","2013-2017","Per Capita Income","71672"
"0600000US0900579720","0900579720","Washington town","2013-2017","MoE","18960"
"0600000US0900580490","0900580490","Watertown town","2013-2017","Per Capita Income","39836"
"0600000US0900580490","0900580490","Watertown town","2013-2017","MoE","2447"
"0600000US0900586440","0900586440","Winchester town","2013-2017","Per Capita Income","32363"
"0600000US0900586440","0900586440","Winchester town","2013-2017","MoE","3760"
"0600000US0900587910","0900587910","Woodbury town","2013-2017","Per Capita Income","48084"
"0600000US0900587910","0900587910","Woodbury town","2013-2017","MoE","4361"
"0600000US0900714300","0900714300","Chester town","2013-2017","Per Capita Income","45195"
"0600000US0900714300","0900714300","Chester town","2013-2017","MoE","4606"
"0600000US0900715350","0900715350","Clinton town","2013-2017","Per Capita Income","39713"
"0600000US0900715350","0900715350","Clinton town","2013-2017","MoE","3117"
"0600000US0900718080","0900718080","Cromwell town","2013-2017","Per Capita Income","45954"
"0600000US0900718080","0900718080","Cromwell town","2013-2017","MoE","4085"
"0600000US0900719130","0900719130","Deep River town","2013-2017","Per Capita Income","44101"
"0600000US0900719130","0900719130","Deep River town","2013-2017","MoE","8039"
"0600000US0900720810","0900720810","Durham town","2013-2017","Per Capita Income","55296"
"0600000US0900720810","0900720810","Durham town","2013-2017","MoE","11247"
"0600000US0900722280","0900722280","East Haddam town","2013-2017","Per Capita Income","40292"
"0600000US0900722280","0900722280","East Haddam town","2013-2017","MoE","2959"
"0600000US0900722490","0900722490","East Hampton town","2013-2017","Per Capita Income","43358"
"0600000US0900722490","0900722490","East Hampton town","2013-2017","MoE","3625"
"0600000US0900726270","0900726270","Essex town","2013-2017","Per Capita Income","55048"
"0600000US0900726270","0900726270","Essex town","2013-2017","MoE","6098"
"0600000US0900735230","0900735230","Haddam town","2013-2017","Per Capita Income","48008"
"0600000US0900735230","0900735230","Haddam town","2013-2017","MoE","4334"
"0600000US0900740710","0900740710","Killingworth town","2013-2017","Per Capita Income","50503"
"0600000US0900740710","0900740710","Killingworth town","2013-2017","MoE","5783"
"0600000US0900747080","0900747080","Middlefield town","2013-2017","Per Capita Income","45752"
"0600000US0900747080","0900747080","Middlefield town","2013-2017","MoE","4929"
"0600000US0900747360","0900747360","Middletown town","2013-2017","Per Capita Income","35992"
"0600000US0900747360","0900747360","Middletown town","2013-2017","MoE","1449"
"0600000US0900757320","0900757320","Old Saybrook town","2013-2017","Per Capita Income","44026"
"0600000US0900757320","0900757320","Old Saybrook town","2013-2017","MoE","4795"
"0600000US0900761800","0900761800","Portland town","2013-2017","Per Capita Income","49280"
"0600000US0900761800","0900761800","Portland town","2013-2017","MoE","5646"
"0600000US0900781680","0900781680","Westbrook town","2013-2017","Per Capita Income","58608"
"0600000US0900781680","0900781680","Westbrook town","2013-2017","MoE","9774"
"0600000US0900901220","0900901220","Ansonia town","2013-2017","Per Capita Income","24896"
"0600000US0900901220","0900901220","Ansonia town","2013-2017","MoE","1632"
"0600000US0900903250","0900903250","Beacon Falls town","2013-2017","Per Capita Income","39020"
"0600000US0900903250","0900903250","Beacon Falls town","2013-2017","MoE","3569"
